Model,Dropout,Hidden Layers,Neurons per Layer,Activation,Learning Rate,Batch Size,Regularizer,Optimizer,Loss Function,R2,RMSE,Train Loss,Val Loss,RMSE Step 1,RMSE Step 2,RMSE Step 3,RMSE Step 4,RMSE Step 5,RMSE Step 6
1,0.0,2,64,relu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9639078974723816,0.19158966657474144,0.038287363946437836,0.05106665939092636,0.10614989301723247,0.14027269861206923,0.17980617828447543,0.20191267754749245,0.22571979684561133,0.25544453468628553
2,0.0,2,64,relu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9673495292663574,0.18222593530217837,0.03364192321896553,0.04164629057049751,0.09524318785088684,0.13244645527516197,0.16312570038605217,0.19380069422062687,0.21976427445814417,0.2452869718205396
3,0.0,2,64,relu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.962256133556366,0.19592466739751893,0.047466445714235306,0.05703870579600334,0.10694904613472675,0.15505368987228335,0.18088367150947282,0.20507495472234447,0.23259595551192933,0.2568432643102572
4,0.0,2,64,relu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.9636778831481934,0.19219895111642793,0.04880128800868988,0.05493023991584778,0.10207105212680795,0.13959755798113452,0.17405126991352923,0.20437056405638976,0.23205012067941727,0.2565882556956431
5,0.0,2,64,relu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.935253381729126,0.2566105393842815,0.0438096821308136,0.19217072427272797,0.30316094083377537,0.17159804551022934,0.22242239711270925,0.2501284870137454,0.2582660972046855,0.3082389423915772
6,0.0,2,64,relu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9643213748931885,0.19048879635272925,0.03451206907629967,0.05936872214078903,0.10411419296457118,0.13980579766257495,0.17020710270324516,0.20290818177424727,0.23002250804386004,0.2535392560119334
7,0.0,2,64,relu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9402133822441101,0.24658577793409744,0.11375624686479568,0.187186598777771,0.1638792549390403,0.24307573553196113,0.20796970397570674,0.23069106191079214,0.3160501172550106,0.2872784687473037
8,0.0,2,64,relu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.947431743144989,0.23122138445596274,0.06736933439970016,0.12201374769210815,0.20736663661488522,0.1764536099188804,0.20349202866161434,0.23485867775679597,0.26337009586584004,0.2841072309370879
9,0.0,2,64,tanh,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9611150622367859,0.19886430362490387,0.04117409884929657,0.07915390282869339,0.12448941091246737,0.14750769765747765,0.1814455443238098,0.20958744501581464,0.2352993030095946,0.2604130474601987
10,0.0,2,64,tanh,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9646353721618652,0.18964890068461215,0.05130360648036003,0.04734232276678085,0.11475023466137652,0.14251207090395168,0.17201959220261184,0.1995332579881632,0.2262682949867926,0.24844940835291196
